ahat,bhat,se,fval,pval,n,x,y,study
0,0,NA,NA,NA,3301,prs,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_1,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_2,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_3,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_4,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_5,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_6,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_7,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_8,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_9,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_10,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_11,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_12,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_13,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_14,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_15,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_16,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_17,d,protein_gwas
NA,NA,NA,NA,NA,3301,r0,d,protein_gwas
-0.00455294094807178,0.00614596952383145,0.00424618424684866,2.09499569657865,0.147877143903504,3301,prs,c0_1,protein_gwas
-0.00428716977055506,0.00667750749725314,0.00424232839752996,2.47753729298321,0.115578837308155,3301,prs,c0_2,protein_gwas
-0.0042802351621103,0.00622742810648437,0.00424296868281203,2.15415918179282,0.14227958792443,3301,prs,c0_3,protein_gwas
-0.00399603011856843,0.00660047135976234,0.00424669806761459,2.41572299193587,0.120218420500025,3301,prs,c0_4,protein_gwas
-0.00495717311414415,0.0063102078090905,0.00425024513124745,2.20424247293814,0.137727027729447,3301,prs,c0_5,protein_gwas
-0.00467655889882119,0.00634935074656573,0.00424272596179612,2.23959079801971,0.134612233044003,3301,prs,c0_6,protein_gwas
-0.00399157623127314,0.00651937197755549,0.00424303493372367,2.36079517013157,0.124514652017006,3301,prs,c0_7,protein_gwas
-0.0044207308240301,0.00572737020689866,0.00423919332718638,1.82534124142473,0.176771456101701,3301,prs,c0_8,protein_gwas
-0.00449172155806696,0.00673374065602646,0.00424252926004109,2.51920250402227,0.112563283464412,3301,prs,c0_9,protein_gwas
-0.00429755546824533,0.00583611810476933,0.00424533162798475,1.88983941150534,0.169313399214812,3301,prs,c0_10,protein_gwas
-0.00465709329804657,0.00532002036879113,0.00424611840311587,1.56979300503913,0.210325875446616,3301,prs,c0_11,protein_gwas
-0.00391429366829575,0.00609339499766905,0.00425094120662056,2.05470021586858,0.15183187979488,3301,prs,c0_12,protein_gwas
-0.00488009224439175,0.00619342017193998,0.00424533742952272,2.12831869135471,0.14469448688582,3301,prs,c0_13,protein_gwas
-0.00486356307177154,0.00594543546058822,0.00424373579431602,1.96277565423665,0.161310834604376,3301,prs,c0_14,protein_gwas
-0.0050191967449765,0.00639503435532685,0.00424153140372964,2.27321435691223,0.131722400879844,3301,prs,c0_15,protein_gwas
-0.00419979132445443,0.00593789333845787,0.00424159055546264,1.95977989305968,0.161630890870905,3301,prs,c0_16,protein_gwas
-0.00476668374171956,0.0057709271345367,0.00423822844864504,1.85405433307503,0.173405565885275,3301,prs,c0_17,protein_gwas
-0.00352367926688089,-0.00201355050697932,0.00426048204749117,0.223361118724916,0.636522025550992,3301,prs,r0,protein_gwas
NA,NA,NA,NA,NA,3301,c1_1,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_2,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_3,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_4,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_5,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_6,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_7,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_8,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_9,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_10,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_11,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_12,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_13,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_14,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_15,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_16,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_17,d,protein_gwas
NA,NA,NA,NA,NA,3301,r1,d,protein_gwas
-0.0040799576971129,0.00385072619684984,0.00415741175121859,0.857905002976264,0.35439337776911,3301,prs,c1_1,protein_gwas
-0.00406436115840161,0.00468500416810992,0.00414807244893987,1.27563755696301,0.258793852317005,3301,prs,c1_2,protein_gwas
-0.00407945931453171,0.00398539611917916,0.00415304905575352,0.920892349710984,0.337311103487181,3301,prs,c1_3,protein_gwas
-0.00401943957711041,0.00494490724126422,0.00414871916286486,1.42065369080509,0.233381571763726,3301,prs,c1_4,protein_gwas
-0.00411514642397805,0.00414656022728532,0.00415748339913431,0.994752199206285,0.318656810852575,3301,prs,c1_5,protein_gwas
-0.00410190812826644,0.00413958783346574,0.00414326029717145,0.998228044650503,0.317812925489319,3301,prs,c1_6,protein_gwas
-0.004034065643099,0.00484111719330826,0.00415629813947176,1.35668119930026,0.244197705377989,3301,prs,c1_7,protein_gwas
-0.00409282009770983,0.00325098297989016,0.00414704591497009,0.614542190431464,0.433138982349927,3301,prs,c1_8,protein_gwas
-0.00406566002560826,0.0047252189259349,0.00415864531738061,1.29104121219822,0.255938688627692,3301,prs,c1_9,protein_gwas
-0.00408302517931207,0.00337768043483517,0.00415685223358963,0.660249290490783,0.416530578941213,3301,prs,c1_10,protein_gwas
-0.00412446055961871,0.00256891632244314,0.00414653893845888,0.38382072401005,0.535608292542507,3301,prs,c1_11,protein_gwas
-0.00405604645540097,0.00339250569144247,0.00415647946343705,0.6661773946787,0.414446453020878,3301,prs,c1_12,protein_gwas
-0.00411268612685439,0.00391684940124288,0.00414595884447787,0.892531955162073,0.344861277963856,3301,prs,c1_13,protein_gwas
-0.00411815758433796,0.00348509345593521,0.00414590445337304,0.706627083442404,0.400626737692225,3301,prs,c1_14,protein_gwas
-0.00411666323240137,0.00443488973991669,0.00416228856220824,1.13527554444524,0.286730820097242,3301,prs,c1_15,protein_gwas
-0.00408083478183073,0.00351147619321672,0.00415085495819437,0.715656038766758,0.397633869212434,3301,prs,c1_16,protein_gwas
-0.00412012466520328,0.00325853675170347,0.00414490448720716,0.618039442981172,0.431833238285572,3301,prs,c1_17,protein_gwas
-0.00404296923275025,-0.00223007799423659,0.00420103481248464,0.281791276027757,0.59556528031227,3301,prs,r1,protein_gwas
